tattoo,date,count
66124,2019-04-20,3
66174,2019-04-20,1
66134,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,2
66124,2019-04-20,1
66184,2019-04-20,1
66134,2019-04-20,1
66124,2019-04-20,1
66134,2019-04-20,1
66124,2019-04-20,1
66174,2019-04-20,1
66124,2019-04-20,2
66184,2019-04-20,1
66124,2019-04-20,1
66134,2019-04-20,2
82828,2019-04-20,2
66134,2019-04-20,1
82828,2019-04-20,5
86938,2019-04-20,1
82828,2019-04-20,64
83828,2019-04-20,1
82828,2019-04-20,122
86928,2019-04-20,13
82828,2019-04-20,1
86928,2019-04-20,22
86938,2019-04-20,1
86928,2019-04-20,3
86938,2019-04-20,2
86928,2019-04-20,4
86938,2019-04-20,2
86938,2019-04-20,1
86928,2019-04-20,1
86938,2019-04-20,1
86928,2019-04-20,3
86938,2019-04-20,2
86928,2019-04-20,1
86938,2019-04-20,1
86928,2019-04-20,4
86938,2019-04-20,6
86928,2019-04-20,7
86938,2019-04-20,3
86928,2019-04-20,25
86938,2019-04-20,2
86938,2019-04-20,7
82528,2019-04-20,1
86938,2019-04-20,1
86938,2019-04-20,5
82528,2019-04-20,1
86938,2019-04-20,1
82528,2019-04-20,1
86938,2019-04-20,3
86938,2019-04-20,2
86938,2019-04-20,2
86938,2019-04-20,1
86938,2019-04-20,1
86938,2019-04-20,8
82528,2019-04-20,1
86938,2019-04-20,5
86938,2019-04-20,1
86938,2019-04-20,2
86938,2019-04-20,1
86938,2019-04-20,12
86938,2019-04-20,1
86938,2019-04-20,19
82528,2019-04-20,1
86938,2019-04-20,39
86938,2019-04-20,5
82528,2019-04-20,1
86938,2019-04-20,74
82528,2019-04-20,1
86938,2019-04-20,90
82528,2019-04-20,78
87568,2019-04-20,1
82528,2019-04-20,35
84358,2019-04-20,1
82528,2019-04-20,6
84358,2019-04-20,1
82528,2019-04-20,42
84358,2019-04-20,1
82528,2019-04-20,20
84358,2019-04-20,1
82528,2019-04-20,7
84358,2019-04-20,84
87568,2019-04-20,1
84358,2019-04-20,16
87568,2019-04-20,1
84358,2019-04-20,30
87568,2019-04-20,1
84358,2019-04-20,1
87568,2019-04-20,1
84358,2019-04-20,10
87568,2019-04-20,1
84358,2019-04-20,37
89728,2019-04-20,1
84358,2019-04-20,7
89728,2019-04-20,2
84358,2019-04-20,3
87568,2019-04-20,11
89728,2019-04-20,1
87568,2019-04-20,2
89728,2019-04-20,1
87568,2019-04-20,159
89728,2019-04-20,2
87568,2019-04-20,15
89728,2019-04-20,2
87568,2019-04-20,1
89728,2019-04-20,3
87568,2019-04-20,1
89728,2019-04-20,1
87568,2019-04-20,2
89728,2019-04-20,9
EXTRA,2019-04-20,1
89728,2019-04-20,1
EXTRA,2019-04-20,1
89728,2019-04-20,7
EXTRA,2019-04-20,1
89728,2019-04-20,4
87568,2019-04-20,1
89728,2019-04-20,31
EXTRA,2019-04-20,1
89728,2019-04-20,6
EXTRA,2019-04-20,1
89728,2019-04-20,53
EXTRA,2019-04-20,1
89728,2019-04-20,64
EXTRA,2019-04-20,1
89728,2019-04-20,11
86938,2019-04-22,105
80848,2019-04-22,1
86938,2019-04-22,43
80418,2019-04-22,1
86938,2019-04-22,45
86938,2019-04-22,193
80848,2019-04-22,23
86938,2019-04-22,1
80848,2019-04-22,171
80848,2019-04-22,21
86938,2019-04-22,1
80848,2019-04-22,147
80418,2019-04-22,1
80848,2019-04-22,27
80848,2019-04-22,8
80418,2019-04-22,1
80848,2019-04-22,10
80418,2019-04-22,1
80848,2019-04-22,112
80418,2019-04-22,1
80848,2019-04-22,63
86938,2019-04-22,1
80848,2019-04-22,1
86938,2019-04-22,2
80418,2019-04-22,182
82918,2019-04-22,3
80418,2019-04-22,2
82918,2019-04-22,2
81368,2019-04-22,1
82918,2019-04-22,13
89728,2019-04-22,1
82918,2019-04-22,27
89728,2019-04-22,1
82918,2019-04-22,25
89728,2019-04-22,1
82918,2019-04-22,122
80518,2019-04-22,63
80518,2019-04-22,1
80518,2019-04-22,51
82918,2019-04-22,2
80518,2019-04-22,3
82918,2019-04-22,1
80518,2019-04-22,3
89728,2019-04-22,1
80518,2019-04-22,62
81328,2019-04-22,1
