tattoo,date,count
82518,2019-04-10,199
82518,2019-04-10,1
82968,2019-04-10,190
86348,2019-04-10,196
66174,2019-04-10,121
66184,2019-04-10,21
66194,2019-04-10,63
81018,2019-04-10,183
84268,2019-04-10,189
84228,2019-04-10,11
83928,2019-04-10,174
83918,2019-04-10,27
71148,2019-04-10,110
47958,2019-04-10,86
49338,2019-04-10,179
49228,2019-04-10,21
70588,2019-04-10,21
70568,2019-04-10,180
70568,2019-04-10,105
51518,2019-04-10,188
84558,2019-04-10,132
84448,2019-04-10,49
80418,2019-04-10,180
80418,2019-04-10,180
76148,2019-04-10,195
81328,2019-04-10,183
84338,2019-04-10,200
86528,2019-04-10,125
81028,2019-04-10,3
81078,2019-04-10,78
85758,2019-04-10,194
30534,2019-04-10,199
82968,2019-04-10,200
80188,2019-04-10,193
81078,2019-04-10,180
70558,2019-04-10,200
70558,2019-04-10,200
66164,2019-04-10,95
66104,2019-04-10,70
66174,2019-04-10,35
66124,2019-04-10,5
86928,2019-04-10,195
89728,2019-04-10,192
70568,2019-04-10,87
70578,2019-04-10,111
70568,2019-04-10,95
81018,2019-04-10,170
20808,2019-04-10,100
20818,2019-04-10,5
84978,2019-04-11,198
30094,2019-04-11,194
82518,2019-04-11,191
82518,2019-04-11,166
82528,2019-04-11,26
84338,2019-04-11,200
30224,2019-04-11,200
85578,2019-04-11,195
84458,2019-04-11,173
84558,2019-04-11,7
20808,2019-04-11,70
20818,2019-04-11,32
81106,2019-04-11,209
13958,2019-04-11,163
83848,2019-04-11,55
83838,2019-04-11,146
50578,2019-04-11,185
27718,2019-04-11,160
90508,2019-04-11,150
89778,2019-04-11,200
83438,2019-04-11,186
70558,2019-04-11,15
83918,2019-04-11,204
52224,2019-04-11,165
53554,2019-04-11,94
59524,2019-04-11,70
51518,2019-04-11,187
82528,2019-04-11,199
88928,2019-04-11,185
85708,2019-04-11,1
85758,2019-04-11,145
82918,2019-04-11,58
80188,2019-04-11,128
80128,2019-04-11,67
30214,2019-04-11,200
48048,2019-04-11,200
80188,2019-04-11,195
86568,2019-04-11,201
48048,2019-04-11,203
48048,2019-04-11,116
48048,2019-04-11,85
86938,2019-04-11,195
80848,2019-04-11,196
86928,2019-04-11,195
66104,2019-04-11,109
66174,2019-04-11,39
66124,2019-04-11,36
66164,2019-04-11,7
66194,2019-04-11,14
69068,2019-04-11,196
86928,2019-04-11,196
82028,2019-04-11,197
20808,2019-04-11,207
80848,2019-04-11,194
82818,2019-04-11,99
88068,2019-04-11,51
